--- Starting fine-tuning for model_type: t5 ---
Model configured with LoRA:
trainable params: 294912 || all params: 60801536 || trainable%: 0.49
Starting training...
{'loss': '10.17', 'grad_norm': '0.9489', 'learning_rate': '0.0001818', 'epoch': '0.09172'}
{'loss': '9.619', 'grad_norm': '1.258', 'learning_rate': '0.0001817', 'epoch': '0.09232'}
{'loss': '9.256', 'grad_norm': '0.809', 'learning_rate': '0.0001815', 'epoch': '0.09293'}
{'loss': '7.495', 'grad_norm': '0.9461', 'learning_rate': '0.0001814', 'epoch': '0.09353'}
{'loss': '8.877', 'grad_norm': '0.8589', 'learning_rate': '0.0001813', 'epoch': '0.09413'}
{'loss': '8.715', 'grad_norm': '0.9633', 'learning_rate': '0.0001812', 'epoch': '0.09474'}
{'loss': '9.476', 'grad_norm': '0.8779', 'learning_rate': '0.0001811', 'epoch': '0.09534'}
{'loss': '9.549', 'grad_norm': '1.022', 'learning_rate': '0.0001809', 'epoch': '0.09594'}
{'loss': '8.37', 'grad_norm': '1.093', 'learning_rate': '0.0001808', 'epoch': '0.09655'}
{'loss': '9.292', 'grad_norm': '0.954', 'learning_rate': '0.0001807', 'epoch': '0.09715'}
{'loss': '9.352', 'grad_norm': '0.9608', 'learning_rate': '0.0001806', 'epoch': '0.09775'}
{'loss': '9.699', 'grad_norm': '1.006', 'learning_rate': '0.0001805', 'epoch': '0.09836'}
{'loss': '9.767', 'grad_norm': '0.9156', 'learning_rate': '0.0001803', 'epoch': '0.09896'}
{'loss': '8.373', 'grad_norm': '0.8068', 'learning_rate': '0.0001802', 'epoch': '0.09956'}
{'loss': '10.91', 'grad_norm': '0.9228', 'learning_rate': '0.0001801', 'epoch': '0.1002'}
{'loss': '8.267', 'grad_norm': '1.054', 'learning_rate': '0.00018', 'epoch': '0.1008'}
{'loss': '7.965', 'grad_norm': '0.9681', 'learning_rate': '0.0001799', 'epoch': '0.1014'}
{'loss': '9.904', 'grad_norm': '1.087', 'learning_rate': '0.0001797', 'epoch': '0.102'}
{'loss': '9.058', 'grad_norm': '1.077', 'learning_rate': '0.0001796', 'epoch': '0.1026'}
{'loss': '10.05', 'grad_norm': '0.9506', 'learning_rate': '0.0001795', 'epoch': '0.1032'}
{'loss': '8.968', 'grad_norm': '0.9871', 'learning_rate': '0.0001794', 'epoch': '0.1038'}
{'loss': '8.222', 'grad_norm': '0.842', 'learning_rate': '0.0001793', 'epoch': '0.1044'}
{'loss': '10.71', 'grad_norm': '1.284', 'learning_rate': '0.0001791', 'epoch': '0.105'}
{'loss': '8.014', 'grad_norm': '0.8789', 'learning_rate': '0.000179', 'epoch': '0.1056'}
{'loss': '10.02', 'grad_norm': '1.377', 'learning_rate': '0.0001789', 'epoch': '0.1062'}
{'loss': '9.56', 'grad_norm': '1.152', 'learning_rate': '0.0001788', 'epoch': '0.1068'}
{'loss': '7.544', 'grad_norm': '1.185', 'learning_rate': '0.0001786', 'epoch': '0.1074'}
{'loss': '8.858', 'grad_norm': '0.8155', 'learning_rate': '0.0001785', 'epoch': '0.108'}
{'loss': '7.675', 'grad_norm': '1.127', 'learning_rate': '0.0001784', 'epoch': '0.1086'}
{'loss': '8.338', 'grad_norm': '1.007', 'learning_rate': '0.0001783', 'epoch': '0.1092'}
{'loss': '9.456', 'grad_norm': '1.12', 'learning_rate': '0.0001782', 'epoch': '0.1098'}
{'loss': '8.304', 'grad_norm': '0.8808', 'learning_rate': '0.000178', 'epoch': '0.1104'}
{'loss': '7.744', 'grad_norm': '1.095', 'learning_rate': '0.0001779', 'epoch': '0.111'}
{'loss': '10.19', 'grad_norm': '0.8704', 'learning_rate': '0.0001778', 'epoch': '0.1116'}
{'loss': '9.395', 'grad_norm': '0.8504', 'learning_rate': '0.0001777', 'epoch': '0.1122'}
{'loss': '9.877', 'grad_norm': '1.14', 'learning_rate': '0.0001776', 'epoch': '0.1128'}
{'loss': '10.28', 'grad_norm': '0.8835', 'learning_rate': '0.0001774', 'epoch': '0.1134'}
{'loss': '9.334', 'grad_norm': '1.086', 'learning_rate': '0.0001773', 'epoch': '0.114'}
{'loss': '9.682', 'grad_norm': '1', 'learning_rate': '0.0001772', 'epoch': '0.1146'}
{'loss': '9.23', 'grad_norm': '1.11', 'learning_rate': '0.0001771', 'epoch': '0.1153'}
{'loss': '7.861', 'grad_norm': '1.138', 'learning_rate': '0.000177', 'epoch': '0.1159'}
{'loss': '9.764', 'grad_norm': '1.139', 'learning_rate': '0.0001768', 'epoch': '0.1165'}
{'loss': '9.277', 'grad_norm': '1.182', 'learning_rate': '0.0001767', 'epoch': '0.1171'}
{'loss': '8.945', 'grad_norm': '0.8642', 'learning_rate': '0.0001766', 'epoch': '0.1177'}
{'loss': '8.911', 'grad_norm': '1.044', 'learning_rate': '0.0001765', 'epoch': '0.1183'}
{'loss': '9.046', 'grad_norm': '0.9323', 'learning_rate': '0.0001764', 'epoch': '0.1189'}
{'loss': '9.076', 'grad_norm': '1.375', 'learning_rate': '0.0001762', 'epoch': '0.1195'}
{'loss': '11.04', 'grad_norm': '0.812', 'learning_rate': '0.0001761', 'epoch': '0.1201'}
{'loss': '10.04', 'grad_norm': '0.9648', 'learning_rate': '0.000176', 'epoch': '0.1207'}
{'loss': '8.836', 'grad_norm': '0.9857', 'learning_rate': '0.0001759', 'epoch': '0.1213'}
{'loss': '10.28', 'grad_norm': '0.8374', 'learning_rate': '0.0001758', 'epoch': '0.1219'}
{'loss': '9.287', 'grad_norm': '0.7925', 'learning_rate': '0.0001756', 'epoch': '0.1225'}
{'loss': '8.584', 'grad_norm': '0.9976', 'learning_rate': '0.0001755', 'epoch': '0.1231'}
{'loss': '9.24', 'grad_norm': '0.9722', 'learning_rate': '0.0001754', 'epoch': '0.1237'}
{'loss': '8.964', 'grad_norm': '0.9745', 'learning_rate': '0.0001753', 'epoch': '0.1243'}
{'loss': '9.227', 'grad_norm': '1.09', 'learning_rate': '0.0001752', 'epoch': '0.1249'}
{'loss': '8.651', 'grad_norm': '0.9676', 'learning_rate': '0.000175', 'epoch': '0.1255'}
{'loss': '9.679', 'grad_norm': '1.176', 'learning_rate': '0.0001749', 'epoch': '0.1261'}
{'loss': '9.142', 'grad_norm': '1.01', 'learning_rate': '0.0001748', 'epoch': '0.1267'}
{'loss': '9.303', 'grad_norm': '1.243', 'learning_rate': '0.0001747', 'epoch': '0.1273'}
{'loss': '9.88', 'grad_norm': '1.004', 'learning_rate': '0.0001745', 'epoch': '0.1279'}
{'loss': '7.856', 'grad_norm': '1.024', 'learning_rate': '0.0001744', 'epoch': '0.1285'}
{'loss': '8.408', 'grad_norm': '0.9189', 'learning_rate': '0.0001743', 'epoch': '0.1291'}
{'loss': '8.105', 'grad_norm': '0.9952', 'learning_rate': '0.0001742', 'epoch': '0.1297'}
{'loss': '10.48', 'grad_norm': '1.051', 'learning_rate': '0.0001741', 'epoch': '0.1303'}
{'loss': '8.83', 'grad_norm': '1.365', 'learning_rate': '0.0001739', 'epoch': '0.1309'}
{'loss': '10.17', 'grad_norm': '0.8981', 'learning_rate': '0.0001738', 'epoch': '0.1315'}
{'loss': '8.745', 'grad_norm': '0.9984', 'learning_rate': '0.0001737', 'epoch': '0.1321'}
{'loss': '8.082', 'grad_norm': '1.21', 'learning_rate': '0.0001736', 'epoch': '0.1328'}
{'loss': '8.572', 'grad_norm': '0.8339', 'learning_rate': '0.0001735', 'epoch': '0.1334'}
{'loss': '9.437', 'grad_norm': '1.02', 'learning_rate': '0.0001733', 'epoch': '0.134'}
{'loss': '9.21', 'grad_norm': '1.13', 'learning_rate': '0.0001732', 'epoch': '0.1346'}
{'loss': '10.46', 'grad_norm': '1.182', 'learning_rate': '0.0001731', 'epoch': '0.1352'}
{'loss': '8.212', 'grad_norm': '0.9487', 'learning_rate': '0.000173', 'epoch': '0.1358'}
{'loss': '7.938', 'grad_norm': '1.244', 'learning_rate': '0.0001729', 'epoch': '0.1364'}
{'loss': '7.918', 'grad_norm': '1.004', 'learning_rate': '0.0001727', 'epoch': '0.137'}
{'loss': '8.617', 'grad_norm': '1.116', 'learning_rate': '0.0001726', 'epoch': '0.1376'}
{'loss': '8.828', 'grad_norm': '1.24', 'learning_rate': '0.0001725', 'epoch': '0.1382'}
{'loss': '9.948', 'grad_norm': '0.9519', 'learning_rate': '0.0001724', 'epoch': '0.1388'}
{'loss': '9.964', 'grad_norm': '1.023', 'learning_rate': '0.0001723', 'epoch': '0.1394'}
{'loss': '8.881', 'grad_norm': '0.801', 'learning_rate': '0.0001721', 'epoch': '0.14'}
{'loss': '10.33', 'grad_norm': '1.046', 'learning_rate': '0.000172', 'epoch': '0.1406'}
{'loss': '7.39', 'grad_norm': '1.208', 'learning_rate': '0.0001719', 'epoch': '0.1412'}
